title~views~uptime_y~uptime_m~uptime_d~link
Masha and the Bear 2022 =F0=9F=8E=BE So sporty =E2=9A=BD Best episodes cartoon collection =F0=9F=8E=AC~1,590,929~0~11~333~https://www.youtube.com/watch?v=3DJcIC0t4TvLU
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=9A=AE=F0=9F=A7=83 Well Sorted (Episode 22) =F0=9F=94=94~1,300,414~0~11~333~https://www.youtube.com/watch?v=3D23jVmljhbhY
Masha and the Bear 2022 =F0=9F=92=A5 NEW EPISODE =F0=9F=92=A5 Wish Upon a Star (Episode 94) =F0=9F=8E=84=E2=9D=84~12,493,310~0~11~333~https://www.youtube.com/watch?v=3DNIKTZOhN_Qs
Masha and the Bear 2022 =F0=9F=8E=84=E2=9D=84 Wish Upon a Star (Trailer) =F0=9F=8E=84=E2=9D=84 New episode coming on December 9! =F0=9F=8E=AC~932,513~0~11~333~https://www.youtube.com/watch?v=3DXJbe5nhl_s8
Masha and the Bear 2022 =E2=9D=84 When the first snow fell =E2=9B=84 Best episodes cartoon collection =F0=9F=8E=AC~3,073,170~0~11~333~https://www.youtube.com/watch?v=3Ds0gbFRm7Qe4
Masha and the Bear 2022 =F0=9F=8E=AC NEW EPISODE! =F0=9F=8E=AC Best cartoon collection =F0=9F=8D=B0=F0=9F=8D=97 Something Yummy~133,323,726~0~11~333~https://www.youtube.com/watch?v=3DSi5auXCYWDI
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=A5=92=F0=9F=90=B7 Come on let's share (Episode 20) =F0=9F=94=94~20,880,020~0~11~333~https://www.youtube.com/watch?v=3DiD_wqjgdQIQ
Masha and the Bear 2022 =F0=9F=A5=A7 Time for pumpkin pie =F0=9F=8E=83 Best episodes cartoon collection =F0=9F=8E=AC~1,916,267~0~11~333~https://www.youtube.com/watch?v=3DW4L6b3HJui0
Masha and the Bear 2022 =F0=9F=91=BB I'm not afraid! =F0=9F=98=80 Best episodes cartoon collection =F0=9F=8E=AC~1,415,078~0~11~333~https://www.youtube.com/watch?v=3DMg91P9VJNpk
Masha and the Bear 2022 =F0=9F=8D=82 Autumn days =F0=9F=8D=82 Best episodes cartoon collection =F0=9F=8E=AC~6,215,402~0~11~333~https://www.youtube.com/watch?v=3DG8b-YXg0KZY
Masha and the Bear =F0=9F=92=A5 Just shoot me =F0=9F=93=B8 30 min =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~2,868,802~0~12~363~https://www.youtube.com/watch?v=3DZXWKT5UkAew
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=A4=A0 The Taming of the Shrew (Episode 14) =F0=9F=94=94~1,365,575~0~12~363~https://www.youtube.com/watch?v=3DOv5gzal1hWQ
